Region,Country,City,Month,Day,Year,AvgTemp (C)
Asia,India,Delhi,1,1,1995,10.39
Asia,India,Delhi,1,2,1995,11.17
Asia,India,Delhi,1,3,1995,12.11
Asia,India,Delhi,1,4,1995,12.06
Asia,India,Delhi,1,5,1995,12.5
Asia,India,Delhi,1,6,1995,12.39
Asia,India,Delhi,1,7,1995,13.94
Asia,India,Delhi,1,8,1995,13.11
Asia,India,Delhi,1,9,1995,12.22
Asia,India,Delhi,1,10,1995,11.33
Asia,India,Delhi,1,11,1995,12.67
Asia,India,Delhi,1,12,1995,12.5
Asia,India,Delhi,1,13,1995,13.06
Asia,India,Delhi,1,14,1995,13.56
Asia,India,Delhi,1,15,1995,13.22
Asia,India,Delhi,1,16,1995,13.56
Asia,India,Delhi,1,17,1995,12.06
Asia,India,Delhi,1,18,1995,12.06
Asia,India,Delhi,1,19,1995,12.5
Asia,India,Delhi,1,20,1995,13.33
Asia,India,Delhi,1,21,1995,13.5
Asia,India,Delhi,1,22,1995,12.06
Asia,India,Delhi,1,23,1995,12
Asia,India,Delhi,1,24,1995,13.06
Asia,India,Delhi,1,25,1995,14.44
Asia,India,Delhi,1,26,1995,14.61
Asia,India,Delhi,1,27,1995,15.44
Asia,India,Delhi,1,28,1995,16.33
Asia,India,Delhi,1,29,1995,15.72
Asia,India,Delhi,1,30,1995,13.78
Asia,India,Delhi,1,31,1995,14.89
Asia,India,Delhi,2,1,1995,14.44
Asia,India,Delhi,2,2,1995,13.89
Asia,India,Delhi,2,3,1995,14.61
Asia,India,Delhi,2,4,1995,14.72
Asia,India,Delhi,2,5,1995,14.61
Asia,India,Delhi,2,6,1995,14.72
Asia,India,Delhi,2,7,1995,17.06
Asia,India,Delhi,2,8,1995,18.33
Asia,India,Delhi,2,9,1995,19.06
Asia,India,Delhi,2,10,1995,19.78
Asia,India,Delhi,2,11,1995,19.17
Asia,India,Delhi,2,12,1995,20.22
Asia,India,Delhi,2,13,1995,20.61
Asia,India,Delhi,2,14,1995,19.33
Asia,India,Delhi,2,15,1995,16.89
Asia,India,Delhi,2,16,1995,16.94
Asia,India,Delhi,2,17,1995,17.5
Asia,India,Delhi,2,18,1995,19.22
Asia,India,Delhi,2,19,1995,17.78
Asia,India,Delhi,2,20,1995,18.28
Asia,India,Delhi,2,21,1995,16.72
Asia,India,Delhi,2,22,1995,12.11
Asia,India,Delhi,2,23,1995,12.33
Asia,India,Delhi,2,24,1995,14.61
Asia,India,Delhi,2,25,1995,15.39
Asia,India,Delhi,2,26,1995,18.78
Asia,India,Delhi,2,27,1995,18.11
Asia,India,Delhi,2,28,1995,17.17
Asia,India,Delhi,3,1,1995,16.5
Asia,India,Delhi,3,2,1995,16.33
Asia,India,Delhi,3,3,1995,16.39
Asia,India,Delhi,3,4,1995,16.06
Asia,India,Delhi,3,5,1995,17.61
Asia,India,Delhi,3,6,1995,17.39
Asia,India,Delhi,3,7,1995,18.17
Asia,India,Delhi,3,8,1995,18.83
Asia,India,Delhi,3,9,1995,20.06
Asia,India,Delhi,3,10,1995,17.94
Asia,India,Delhi,3,11,1995,17.28
Asia,India,Delhi,3,12,1995,19.5
Asia,India,Delhi,3,13,1995,20.28
Asia,India,Delhi,3,14,1995,20.61
Asia,India,Delhi,3,15,1995,20.44
Asia,India,Delhi,3,16,1995,23.61
Asia,India,Delhi,3,17,1995,23.61
Asia,India,Delhi,3,18,1995,24.61
Asia,India,Delhi,3,19,1995,24.5
Asia,India,Delhi,3,20,1995,24.72
Asia,India,Delhi,3,21,1995,23.78
Asia,India,Delhi,3,22,1995,24.61
Asia,India,Delhi,3,23,1995,27.67
Asia,India,Delhi,3,24,1995,27.94
Asia,India,Delhi,3,25,1995,24.11
Asia,India,Delhi,3,26,1995,22.17
Asia,India,Delhi,3,27,1995,22.83
Asia,India,Delhi,3,28,1995,25.61
Asia,India,Delhi,3,29,1995,-72.78
Asia,India,Delhi,3,30,1995,23.28
Asia,India,Delhi,3,31,1995,22.89
Asia,India,Delhi,4,1,1995,23.83
Asia,India,Delhi,4,2,1995,23.83
Asia,India,Delhi,4,3,1995,23.5
Asia,India,Delhi,4,4,1995,24.17
Asia,India,Delhi,4,5,1995,25.61
Asia,India,Delhi,4,6,1995,25.72
Asia,India,Delhi,4,7,1995,27
Asia,India,Delhi,4,8,1995,27.78
Asia,India,Delhi,4,9,1995,28.94
Asia,India,Delhi,4,10,1995,29.39
Asia,India,Delhi,4,11,1995,27.17
Asia,India,Delhi,4,12,1995,26.44
Asia,India,Delhi,4,13,1995,25.94
Asia,India,Delhi,4,14,1995,28.28
Asia,India,Delhi,4,15,1995,29.39
Asia,India,Delhi,4,16,1995,30.22
Asia,India,Delhi,4,17,1995,30.11
Asia,India,Delhi,4,18,1995,28.28
Asia,India,Delhi,4,19,1995,29.06
Asia,India,Delhi,4,20,1995,26.5
Asia,India,Delhi,4,21,1995,26.94
Asia,India,Delhi,4,22,1995,29.89
Asia,India,Delhi,4,23,1995,29.89
Asia,India,Delhi,4,24,1995,31.06
Asia,India,Delhi,4,25,1995,32.44
Asia,India,Delhi,4,26,1995,31.83
Asia,India,Delhi,4,27,1995,30.56
Asia,India,Delhi,4,28,1995,32.06
Asia,India,Delhi,4,29,1995,32.22
Asia,India,Delhi,4,30,1995,33.83
Asia,India,Delhi,5,1,1995,32.67
Asia,India,Delhi,5,2,1995,30.5
Asia,India,Delhi,5,3,1995,32.5
Asia,India,Delhi,5,4,1995,31.89
Asia,India,Delhi,5,5,1995,31.67
Asia,India,Delhi,5,6,1995,30.83
Asia,India,Delhi,5,7,1995,33.5
Asia,India,Delhi,5,8,1995,32
Asia,India,Delhi,5,9,1995,33.56
Asia,India,Delhi,5,10,1995,32.39
Asia,India,Delhi,5,11,1995,33.89
Asia,India,Delhi,5,12,1995,34.72
Asia,India,Delhi,5,13,1995,35.61
Asia,India,Delhi,5,14,1995,35.28
Asia,India,Delhi,5,15,1995,34.83
Asia,India,Delhi,5,16,1995,37.06
Asia,India,Delhi,5,17,1995,36.33
Asia,India,Delhi,5,18,1995,35.11
Asia,India,Delhi,5,19,1995,35.67
Asia,India,Delhi,5,20,1995,35.61
Asia,India,Delhi,5,21,1995,35
Asia,India,Delhi,5,22,1995,33.94
Asia,India,Delhi,5,23,1995,32.78
Asia,India,Delhi,5,24,1995,33.11
Asia,India,Delhi,5,25,1995,32.89
Asia,India,Delhi,5,26,1995,33.94
Asia,India,Delhi,5,27,1995,34.83
Asia,India,Delhi,5,28,1995,34.83
